record_id,original_text,normalized_text,source_file,source_platform,evidence_type,real_vs_synthetic,language,search_volume,competition,duplicate_group_id,parent_family_id,intent_id,phase2_flow_id,classification_status,ambiguity_flag,high_risk_flag
"MQU-00016","Contacted via website chat: My email is test@mailinator.com","contacted via website chat: my email is test@mailinator.com","n8n_DataTable","customer_context","REAL_CUSTOMER_AUDIT_BRIEF","REAL_OBSERVED","ENGLISH",,,"MQU-DUP-0004","FAM-06","INTENT-06-AUDIT-INTAKE","FLOW-04","GOLD_INHERITED",false,true
"MQU-00017","Audit evaluation for DigiXPro Systems Verification (IT, Technology & Software / SaaS). With an existing digital presence and operating in the B2B Companies & Businesses sector, your current focus is streamlining operational workflows, enhancing search discoverability, and establishing automated lead-handling pathways.","audit evaluation for digixpro systems verification (it, technology & software / saas). with an existing digital presence and operating in the b2b companies & businesses sector, your current focus is streamlining operational workflows, enhancing search discoverability, and establishing automated lead-handling pathways.","n8n_DataTable","customer_context","REAL_CUSTOMER_AUDIT_BRIEF","REAL_OBSERVED","ENGLISH",,,"NEAR-GRP-006","FAM-06","INTENT-06-AUDIT-INTAKE","FLOW-04","GOLD_INHERITED",false,true
"MQU-00018","Audit evaluation for DigiXPro Enterprise Final Test (IT, Technology & Software / SaaS). With an existing digital presence and operating in the B2B Companies & Businesses sector, your current focus is streamlining operational workflows, enhancing search discoverability, and establishing automated lead-handling pathways.","audit evaluation for digixpro enterprise final test (it, technology & software / saas). with an existing digital presence and operating in the b2b companies & businesses sector, your current focus is streamlining operational workflows, enhancing search discoverability, and establishing automated lead-handling pathways.","n8n_DataTable","customer_context","REAL_CUSTOMER_AUDIT_BRIEF","REAL_OBSERVED","ENGLISH",,,"NEAR-GRP-006","FAM-06","INTENT-06-AUDIT-INTAKE","FLOW-04","GOLD_INHERITED",false,true
"MQU-00019","Audit evaluation for DigiXPro Zero Pricing Enterprise (IT, Technology & Software / SaaS). With an existing digital presence and operating in the B2B Companies & Businesses sector, your current focus is streamlining operational workflows, enhancing search discoverability, and establishing automated lead-handling pathways.","audit evaluation for digixpro zero pricing enterprise (it, technology & software / saas). with an existing digital presence and operating in the b2b companies & businesses sector, your current focus is streamlining operational workflows, enhancing search discoverability, and establishing automated lead-handling pathways.","n8n_DataTable","customer_context","REAL_CUSTOMER_AUDIT_BRIEF","REAL_OBSERVED","ENGLISH",,,"NEAR-GRP-007","FAM-11","INTENT-11-MULTI","FLOW-01","REVIEW_REQUIRED",true,true
"MQU-00020","Audit evaluation for Digixpro (IT, Technology & Software / SaaS). With an existing digital presence and operating in the B2B Companies & Businesses sector, your current focus is streamlining operational workflows, enhancing search discoverability, and establishing automated lead-handling pathways.","audit evaluation for digixpro (it, technology & software / saas). with an existing digital presence and operating in the b2b companies & businesses sector, your current focus is streamlining operational workflows, enhancing search discoverability, and establishing automated lead-handling pathways.","n8n_DataTable","customer_context","REAL_CUSTOMER_AUDIT_BRIEF","REAL_OBSERVED","ENGLISH",,,"NEAR-GRP-008","FAM-06","INTENT-06-AUDIT-INTAKE","FLOW-04","GOLD_INHERITED",false,true
"MQU-00021","Submitted a URL for audit: https://www.digixpro.in","submitted a url for audit: https://www.digixpro.in","n8n_DataTable","customer_context","REAL_CUSTOMER_AUDIT_BRIEF","REAL_OBSERVED","ENGLISH",,,"MQU-DUP-0005","FAM-06","INTENT-06-AUDIT-INTAKE","FLOW-04","GOLD_INHERITED",false,true
"MQU-00022","Submitted a URL for audit: https://www.digixpro.in","submitted a url for audit: https://www.digixpro.in","n8n_DataTable","customer_context","REAL_CUSTOMER_AUDIT_BRIEF","REAL_OBSERVED","ENGLISH",,,"MQU-DUP-0005","FAM-06","INTENT-06-AUDIT-INTAKE","FLOW-04","GOLD_INHERITED",false,true
"MQU-00023","Submitted a URL for audit: https://www.digixpro.in","submitted a url for audit: https://www.digixpro.in","n8n_DataTable","customer_context","REAL_CUSTOMER_AUDIT_BRIEF","REAL_OBSERVED","ENGLISH",,,"MQU-DUP-0005","FAM-06","INTENT-06-AUDIT-INTAKE","FLOW-04","GOLD_INHERITED",false,true
"MQU-00024","Submitted a URL for audit: https://www.digixpro.in","submitted a url for audit: https://www.digixpro.in","n8n_DataTable","customer_context","REAL_CUSTOMER_AUDIT_BRIEF","REAL_OBSERVED","ENGLISH",,,"MQU-DUP-0005","FAM-06","INTENT-06-AUDIT-INTAKE","FLOW-04","GOLD_INHERITED",false,true
"MQU-00025","Submitted a URL for audit: https://www.digixpro.in","submitted a url for audit: https://www.digixpro.in","n8n_DataTable","customer_context","REAL_CUSTOMER_AUDIT_BRIEF","REAL_OBSERVED","ENGLISH",,,"MQU-DUP-0005","FAM-06","INTENT-06-AUDIT-INTAKE","FLOW-04","GOLD_INHERITED",false,true
"MQU-00026","Submitted a URL for audit: https://www.digixpro.in","submitted a url for audit: https://www.digixpro.in","n8n_DataTable","customer_context","REAL_CUSTOMER_AUDIT_BRIEF","REAL_OBSERVED","ENGLISH",,,"MQU-DUP-0005","FAM-06","INTENT-06-AUDIT-INTAKE","FLOW-04","GOLD_INHERITED",false,true
"MQU-00027","Submitted a URL for audit: https://www.digixpro.in","submitted a url for audit: https://www.digixpro.in","n8n_DataTable","customer_context","REAL_CUSTOMER_AUDIT_BRIEF","REAL_OBSERVED","ENGLISH",,,"MQU-DUP-0005","FAM-06","INTENT-06-AUDIT-INTAKE","FLOW-04","GOLD_INHERITED",false,true
"MQU-00028","Submitted a URL for audit: https://www.digixpro.in","submitted a url for audit: https://www.digixpro.in","n8n_DataTable","customer_context","REAL_CUSTOMER_AUDIT_BRIEF","REAL_OBSERVED","ENGLISH",,,"MQU-DUP-0005","FAM-06","INTENT-06-AUDIT-INTAKE","FLOW-04","GOLD_INHERITED",false,true
"MQU-00029","Submitted a URL for audit: https://www.digixpro.in","submitted a url for audit: https://www.digixpro.in","n8n_DataTable","customer_context","REAL_CUSTOMER_AUDIT_BRIEF","REAL_OBSERVED","ENGLISH",,,"MQU-DUP-0005","FAM-06","INTENT-06-AUDIT-INTAKE","FLOW-04","GOLD_INHERITED",false,true
"MQU-00030","Submitted a URL for audit: https://www.digixpro.in","submitted a url for audit: https://www.digixpro.in","n8n_DataTable","customer_context","REAL_CUSTOMER_AUDIT_BRIEF","REAL_OBSERVED","ENGLISH",,,"MQU-DUP-0005","FAM-06","INTENT-06-AUDIT-INTAKE","FLOW-04","GOLD_INHERITED",false,true
"MQU-00031","Which technology stack should we choose?","which technology stack should we choose?","n8n_DataTable","canonicalRegistry.ts","SYNTHETIC_CANONICAL_FAQ","DISCOVERY_SYNTHETIC","ENGLISH",,,"","FAM-12","INTENT-12-VALUEPROP","FLOW-02","REVIEW_REQUIRED",true,false
"MQU-00032","Is our current agency code scalable?","is our current agency code scalable?","n8n_DataTable","canonicalRegistry.ts","SYNTHETIC_CANONICAL_FAQ","DISCOVERY_SYNTHETIC","ENGLISH",,,"","FAM-12","INTENT-12-VALUEPROP","FLOW-02","REVIEW_REQUIRED",true,false
"MQU-00033","How does advisory work?","how does advisory work?","n8n_DataTable","canonicalRegistry.ts","SYNTHETIC_CANONICAL_FAQ","DISCOVERY_SYNTHETIC","ENGLISH",,,"","FAM-07","INTENT-07-EVIDENCE","FLOW-03","GOLD_INHERITED",false,false
"MQU-00034","Is this vendor quote realistic?","is this vendor quote realistic?","n8n_DataTable","canonicalRegistry.ts","SYNTHETIC_CANONICAL_FAQ","DISCOVERY_SYNTHETIC","ENGLISH",,,"","FAM-12","INTENT-12-VALUEPROP","FLOW-02","REVIEW_REQUIRED",true,false
"MQU-00035","Are we overpaying for software licenses?","are we overpaying for software licenses?","n8n_DataTable","canonicalRegistry.ts","SYNTHETIC_CANONICAL_FAQ","DISCOVERY_SYNTHETIC","ENGLISH",,,"","FAM-12","INTENT-12-VALUEPROP","FLOW-02","REVIEW_REQUIRED",true,false
"MQU-00036","Do you take commissions from vendors?","do you take commissions from vendors?","n8n_DataTable","canonicalRegistry.ts","SYNTHETIC_CANONICAL_FAQ","DISCOVERY_SYNTHETIC","ENGLISH",,,"","FAM-12","INTENT-12-VALUEPROP","FLOW-02","REVIEW_REQUIRED",true,false
"MQU-00037","How do we digitize manual operations without disrupting business?","how do we digitize manual operations without disrupting business?","n8n_DataTable","canonicalRegistry.ts","SYNTHETIC_CANONICAL_FAQ","DISCOVERY_SYNTHETIC","ENGLISH",,,"","FAM-03","INTENT-03-AUTO","FLOW-06","GOLD_INHERITED",false,false
"MQU-00038","How long does a transformation roadmap take?","how long does a transformation roadmap take?","n8n_DataTable","canonicalRegistry.ts","SYNTHETIC_CANONICAL_FAQ","DISCOVERY_SYNTHETIC","ENGLISH",,,"","FAM-04","INTENT-04-CTO","FLOW-06","GOLD_INHERITED",false,false
"MQU-00039","Why is WhatsApp or Excel failing as our operating system?","why is whatsapp or excel failing as our operating system?","n8n_DataTable","canonicalRegistry.ts","SYNTHETIC_CANONICAL_FAQ","DISCOVERY_SYNTHETIC","ENGLISH",,,"","FAM-12","INTENT-12-VALUEPROP","FLOW-02","REVIEW_REQUIRED",true,false
"MQU-00040","Why avoid off-the-shelf ERPs?","why avoid off-the-shelf erps?","n8n_DataTable","canonicalRegistry.ts","SYNTHETIC_CANONICAL_FAQ","DISCOVERY_SYNTHETIC","ENGLISH",,,"","FAM-12","INTENT-12-VALUEPROP","FLOW-02","REVIEW_REQUIRED",true,false
"MQU-00041","How do we architect our platform for 10x traffic growth?","how do we architect our platform for 10x traffic growth?","n8n_DataTable","canonicalRegistry.ts","SYNTHETIC_CANONICAL_FAQ","DISCOVERY_SYNTHETIC","ENGLISH",,,"","FAM-12","INTENT-12-VALUEPROP","FLOW-02","REVIEW_REQUIRED",true,false
"MQU-00042","What is included in the roadmap?","what is included in the roadmap?","n8n_DataTable","canonicalRegistry.ts","SYNTHETIC_CANONICAL_FAQ","DISCOVERY_SYNTHETIC","ENGLISH",,,"","FAM-04","INTENT-04-CTO","FLOW-06","GOLD_INHERITED",false,false
"MQU-00043","Can we get CTO-level technical leadership on a fractional basis?","can we get cto-level technical leadership on a fractional basis?","n8n_DataTable","canonicalRegistry.ts","SYNTHETIC_CANONICAL_FAQ","DISCOVERY_SYNTHETIC","ENGLISH",,,"","FAM-12","INTENT-12-VALUEPROP","FLOW-02","REVIEW_REQUIRED",true,false
"MQU-00044","How many hours per week?","how many hours per week?","n8n_DataTable","canonicalRegistry.ts","SYNTHETIC_CANONICAL_FAQ","DISCOVERY_SYNTHETIC","ENGLISH",,,"","FAM-12","INTENT-12-VALUEPROP","FLOW-02","REVIEW_REQUIRED",true,false
"MQU-00045","Why should we choose custom Next.js over template WordPress?","why should we choose custom next.js over template wordpress?","n8n_DataTable","canonicalRegistry.ts","SYNTHETIC_CANONICAL_FAQ","DISCOVERY_SYNTHETIC","ENGLISH",,,"","FAM-02","INTENT-02-WEB","FLOW-06","GOLD_INHERITED",false,false
"MQU-00046","Do you build on WordPress templates?","do you build on wordpress templates?","n8n_DataTable","canonicalRegistry.ts","SYNTHETIC_CANONICAL_FAQ","DISCOVERY_SYNTHETIC","ENGLISH",,,"","FAM-02","INTENT-02-WEB","FLOW-06","GOLD_INHERITED",false,false
"MQU-00047","How do we redesign our site without losing organic search traffic?","how do we redesign our site without losing organic search traffic?","n8n_DataTable","canonicalRegistry.ts","SYNTHETIC_CANONICAL_FAQ","DISCOVERY_SYNTHETIC","ENGLISH",,,"","FAM-02","INTENT-02-WEB","FLOW-06","GOLD_INHERITED",false,false
"MQU-00048","Will my rankings drop during redesign?","will my rankings drop during redesign?","n8n_DataTable","canonicalRegistry.ts","SYNTHETIC_CANONICAL_FAQ","DISCOVERY_SYNTHETIC","ENGLISH",,,"","FAM-02","INTENT-02-WEB","FLOW-06","GOLD_INHERITED",false,false
"MQU-00049","What does a professional clinic or service website need?","what does a professional clinic or service website need?","n8n_DataTable","canonicalRegistry.ts","SYNTHETIC_CANONICAL_FAQ","DISCOVERY_SYNTHETIC","ENGLISH",,,"","FAM-02","INTENT-02-WEB","FLOW-06","GOLD_INHERITED",false,false
"MQU-00050","Can appointment forms be integrated?","can appointment forms be integrated?","n8n_DataTable","canonicalRegistry.ts","SYNTHETIC_CANONICAL_FAQ","DISCOVERY_SYNTHETIC","ENGLISH",,,"","FAM-12","INTENT-12-VALUEPROP","FLOW-02","REVIEW_REQUIRED",true,false
"MQU-00051","Why are our Google/Meta ad leads expensive?","why are our google/meta ad leads expensive?","n8n_DataTable","canonicalRegistry.ts","SYNTHETIC_CANONICAL_FAQ","DISCOVERY_SYNTHETIC","ENGLISH",,,"","FAM-12","INTENT-12-VALUEPROP","FLOW-02","REVIEW_REQUIRED",true,false
"MQU-00052","Do you handle ad spend management?","do you handle ad spend management?","n8n_DataTable","canonicalRegistry.ts","SYNTHETIC_CANONICAL_FAQ","DISCOVERY_SYNTHETIC","ENGLISH",,,"","FAM-12","INTENT-12-VALUEPROP","FLOW-02","REVIEW_REQUIRED",true,false
"MQU-00053","How do we double conversion rates from existing traffic?","how do we double conversion rates from existing traffic?","n8n_DataTable","canonicalRegistry.ts","SYNTHETIC_CANONICAL_FAQ","DISCOVERY_SYNTHETIC","ENGLISH",,,"","FAM-12","INTENT-12-VALUEPROP","FLOW-02","REVIEW_REQUIRED",true,false
"MQU-00054","What results can we expect?","what results can we expect?","n8n_DataTable","canonicalRegistry.ts","SYNTHETIC_CANONICAL_FAQ","DISCOVERY_SYNTHETIC","ENGLISH",,,"","FAM-12","INTENT-12-VALUEPROP","FLOW-02","REVIEW_REQUIRED",true,false
"MQU-00055","Is the website built SEO-ready from day one?","is the website built seo-ready from day one?","n8n_DataTable","canonicalRegistry.ts","SYNTHETIC_CANONICAL_FAQ","DISCOVERY_SYNTHETIC","ENGLISH",,,"","FAM-01","INTENT-01-SEO","FLOW-06","REVIEW_REQUIRED",true,false
"MQU-00056","Does this include monthly SEO?","does this include monthly seo?","n8n_DataTable","canonicalRegistry.ts","SYNTHETIC_CANONICAL_FAQ","DISCOVERY_SYNTHETIC","ENGLISH",,,"","FAM-01","INTENT-01-SEO","FLOW-06","GOLD_INHERITED",false,false
"MQU-00057","How long does organic SEO take to yield results?","how long does organic seo take to yield results?","n8n_DataTable","canonicalRegistry.ts","SYNTHETIC_CANONICAL_FAQ","DISCOVERY_SYNTHETIC","ENGLISH",,,"","FAM-01","INTENT-01-SEO","FLOW-06","GOLD_INHERITED",false,false
"MQU-00058","Do you guarantee #1 rankings?","do you guarantee #1 rankings?","n8n_DataTable","canonicalRegistry.ts","SYNTHETIC_CANONICAL_FAQ","DISCOVERY_SYNTHETIC","ENGLISH",,,"","FAM-12","INTENT-12-VALUEPROP","FLOW-02","REVIEW_REQUIRED",true,false
"MQU-00059","How do we get featured in ChatGPT and Perplexity recommendations?","how do we get featured in chatgpt and perplexity recommendations?","n8n_DataTable","canonicalRegistry.ts","SYNTHETIC_CANONICAL_FAQ","DISCOVERY_SYNTHETIC","ENGLISH",,,"","FAM-12","INTENT-12-VALUEPROP","FLOW-02","REVIEW_REQUIRED",true,false
"MQU-00060","What is GEO?","what is geo?","n8n_DataTable","canonicalRegistry.ts","SYNTHETIC_CANONICAL_FAQ","DISCOVERY_SYNTHETIC","ENGLISH",,,"","FAM-12","INTENT-12-VALUEPROP","FLOW-02","REVIEW_REQUIRED",true,false
"MQU-00061","How do local clinics attract nearby patients via search?","how do local clinics attract nearby patients via search?","n8n_DataTable","canonicalRegistry.ts","SYNTHETIC_CANONICAL_FAQ","DISCOVERY_SYNTHETIC","ENGLISH",,,"","FAM-12","INTENT-12-VALUEPROP","FLOW-02","REVIEW_REQUIRED",true,false
"MQU-00062","How fast do local search rankings improve?","how fast do local search rankings improve?","n8n_DataTable","canonicalRegistry.ts","SYNTHETIC_CANONICAL_FAQ","DISCOVERY_SYNTHETIC","ENGLISH",,,"","FAM-12","INTENT-12-VALUEPROP","FLOW-02","REVIEW_REQUIRED",true,false
"MQU-00063","Do you offer social media content design?","do you offer social media content design?","n8n_DataTable","canonicalRegistry.ts","SYNTHETIC_CANONICAL_FAQ","DISCOVERY_SYNTHETIC","ENGLISH",,,"","FAM-12","INTENT-12-VALUEPROP","FLOW-02","REVIEW_REQUIRED",true,false
"MQU-00064","Does this include ad spend management?","does this include ad spend management?","n8n_DataTable","canonicalRegistry.ts","SYNTHETIC_CANONICAL_FAQ","DISCOVERY_SYNTHETIC","ENGLISH",,,"","FAM-12","INTENT-12-VALUEPROP","FLOW-02","REVIEW_REQUIRED",true,false
"MQU-00065","How can n8n or AI automate our business workflows?","how can n8n or ai automate our business workflows?","n8n_DataTable","canonicalRegistry.ts","SYNTHETIC_CANONICAL_FAQ","DISCOVERY_SYNTHETIC","ENGLISH",,,"","FAM-03","INTENT-03-AUTO","FLOW-06","GOLD_INHERITED",false,false
"MQU-00066","Do we need expensive enterprise licenses?","do we need expensive enterprise licenses?","n8n_DataTable","canonicalRegistry.ts","SYNTHETIC_CANONICAL_FAQ","DISCOVERY_SYNTHETIC","ENGLISH",,,"","FAM-12","INTENT-12-VALUEPROP","FLOW-02","REVIEW_REQUIRED",true,false
"MQU-00067","Can website leads automatically trigger WhatsApp notifications and CRM updates?","can website leads automatically trigger whatsapp notifications and crm updates?","n8n_DataTable","canonicalRegistry.ts","SYNTHETIC_CANONICAL_FAQ","DISCOVERY_SYNTHETIC","ENGLISH",,,"","FAM-02","INTENT-02-WEB","FLOW-06","GOLD_INHERITED",false,false
"MQU-00068","How fast are WhatsApp lead alerts delivered?","how fast are whatsapp lead alerts delivered?","n8n_DataTable","canonicalRegistry.ts","SYNTHETIC_CANONICAL_FAQ","DISCOVERY_SYNTHETIC","ENGLISH",,,"","FAM-12","INTENT-12-VALUEPROP","FLOW-02","REVIEW_REQUIRED",true,false
"MQU-00069","कीवर्ड","कीवर्ड","DigiXPro-Keyword-Master-List-Site-Architecture.md","DigiXPro-Keyword-Master-List-Site-Architecture.md","REAL_SEARCH_DEMAND","REAL_OBSERVED","HINDI",,,"MQU-DUP-0006","FAM-12","INTENT-12-VALUEPROP","FLOW-02","REVIEW_REQUIRED",true,false
"MQU-00070","IT consulting services","it consulting services","DigiXPro-Keyword-Master-List-Site-Architecture.md","DigiXPro-Keyword-Master-List-Site-Architecture.md","REAL_SEARCH_DEMAND","REAL_OBSERVED","ENGLISH",,,"MQU-DUP-0007","FAM-04","INTENT-04-CTO","FLOW-06","GOLD_INHERITED",false,false
"MQU-00071","AI automation agency","ai automation agency","DigiXPro-Keyword-Master-List-Site-Architecture.md","DigiXPro-Keyword-Master-List-Site-Architecture.md","REAL_SEARCH_DEMAND","REAL_OBSERVED","ENGLISH",,,"MQU-DUP-0008","FAM-03","INTENT-03-AUTO","FLOW-06","GOLD_INHERITED",false,false
"MQU-00072","business IT consulting services","business it consulting services","DigiXPro-Keyword-Master-List-Site-Architecture.md","DigiXPro-Keyword-Master-List-Site-Architecture.md","REAL_SEARCH_DEMAND","REAL_OBSERVED","ENGLISH",,,"MQU-DUP-0009","FAM-04","INTENT-04-CTO","FLOW-06","GOLD_INHERITED",false,false
"MQU-00073","ERP consultant","erp consultant","DigiXPro-Keyword-Master-List-Site-Architecture.md","DigiXPro-Keyword-Master-List-Site-Architecture.md","REAL_SEARCH_DEMAND","REAL_OBSERVED","ENGLISH",,,"NEAR-GRP-014","FAM-03","INTENT-03-AUTO","FLOW-06","GOLD_INHERITED",false,false
"MQU-00074","AI consulting services","ai consulting services","DigiXPro-Keyword-Master-List-Site-Architecture.md","DigiXPro-Keyword-Master-List-Site-Architecture.md","REAL_SEARCH_DEMAND","REAL_OBSERVED","ENGLISH",,,"MQU-DUP-0010","FAM-04","INTENT-04-CTO","FLOW-06","GOLD_INHERITED",false,false
"MQU-00075","Business Process Automation","business process automation","DigiXPro-Keyword-Master-List-Site-Architecture.md","DigiXPro-Keyword-Master-List-Site-Architecture.md","REAL_SEARCH_DEMAND","REAL_OBSERVED","ENGLISH",,,"MQU-DUP-0011","FAM-03","INTENT-03-AUTO","FLOW-06","GOLD_INHERITED",false,false
"MQU-00076","business automation agency","business automation agency","DigiXPro-Keyword-Master-List-Site-Architecture.md","DigiXPro-Keyword-Master-List-Site-Architecture.md","REAL_SEARCH_DEMAND","REAL_OBSERVED","ENGLISH",,,"NEAR-GRP-017","FAM-03","INTENT-03-AUTO","FLOW-06","GOLD_INHERITED",false,false
"MQU-00077","ERP consultant companies","erp consultant companies","DigiXPro-Keyword-Master-List-Site-Architecture.md","DigiXPro-Keyword-Master-List-Site-Architecture.md","REAL_SEARCH_DEMAND","REAL_OBSERVED","ENGLISH",,,"NEAR-GRP-014","FAM-03","INTENT-03-AUTO","FLOW-06","GOLD_INHERITED",false,false
"MQU-00078","ERP consultant services","erp consultant services","DigiXPro-Keyword-Master-List-Site-Architecture.md","DigiXPro-Keyword-Master-List-Site-Architecture.md","REAL_SEARCH_DEMAND","REAL_OBSERVED","ENGLISH",,,"NEAR-GRP-018","FAM-03","INTENT-03-AUTO","FLOW-06","GOLD_INHERITED",false,false
"MQU-00079","ERP consultant company","erp consultant company","DigiXPro-Keyword-Master-List-Site-Architecture.md","DigiXPro-Keyword-Master-List-Site-Architecture.md","REAL_SEARCH_DEMAND","REAL_OBSERVED","ENGLISH",,,"NEAR-GRP-019","FAM-03","INTENT-03-AUTO","FLOW-06","GOLD_INHERITED",false,false
"MQU-00080","functional ERP consultant","functional erp consultant","DigiXPro-Keyword-Master-List-Site-Architecture.md","DigiXPro-Keyword-Master-List-Site-Architecture.md","REAL_SEARCH_DEMAND","REAL_OBSERVED","ENGLISH",,,"NEAR-GRP-020","FAM-03","INTENT-03-AUTO","FLOW-06","GOLD_INHERITED",false,false
"MQU-00081","business process automation services","business process automation services","DigiXPro-Keyword-Master-List-Site-Architecture.md","DigiXPro-Keyword-Master-List-Site-Architecture.md","REAL_SEARCH_DEMAND","REAL_OBSERVED","ENGLISH",,,"MQU-DUP-0012","FAM-03","INTENT-03-AUTO","FLOW-06","GOLD_INHERITED",false,false
"MQU-00082","AI adoption strategy","ai adoption strategy","DigiXPro-Keyword-Master-List-Site-Architecture.md","DigiXPro-Keyword-Master-List-Site-Architecture.md","REAL_SEARCH_DEMAND","REAL_OBSERVED","ENGLISH",,,"MQU-DUP-0013","FAM-12","INTENT-12-VALUEPROP","FLOW-02","REVIEW_REQUIRED",true,false
"MQU-00083","generative AI consulting services","generative ai consulting services","DigiXPro-Keyword-Master-List-Site-Architecture.md","DigiXPro-Keyword-Master-List-Site-Architecture.md","REAL_SEARCH_DEMAND","REAL_OBSERVED","ENGLISH",,,"MQU-DUP-0014","FAM-04","INTENT-04-CTO","FLOW-06","GOLD_INHERITED",false,false
"MQU-00084","AI automation agency services","ai automation agency services","DigiXPro-Keyword-Master-List-Site-Architecture.md","DigiXPro-Keyword-Master-List-Site-Architecture.md","REAL_SEARCH_DEMAND","REAL_OBSERVED","ENGLISH",,,"MQU-DUP-0015","FAM-03","INTENT-03-AUTO","FLOW-06","GOLD_INHERITED",false,false
